County,Date,CZ_FIPS
Los Angeles ,3/14/1996,37
San Bernardino ,7/27/1996,71
Riverside ,8/23/1996,65
Tulare ,11/22/1996,107
Kern ,3/22/1997,29
Kern ,3/22/1997,29
San Diego ,4/2/1997,73
Los Angeles ,5/12/1997,37
Fresno ,5/19/1997,19
Lassen ,7/26/1997,35
San Joaquin ,8/19/1997,77
Kern ,9/2/1997,29
Fresno ,1/29/1998,19
Humboldt ,2/3/1998,23
Orange ,2/6/1998,59
Mariposa ,2/7/1998,43
Fresno ,2/14/1998,19
Merced ,3/24/1998,47
Fresno ,3/28/1998,19
Fresno ,3/28/1998,19
Kern ,5/5/1998,29
Kern ,5/5/1998,29
Fresno ,6/6/1998,19
Merced ,6/6/1998,47
Los Angeles ,7/20/1998,37
San Bernardino ,8/11/1998,71
Kern ,9/2/1998,29
Los Angeles ,5/23/1999,37
Kern ,7/11/1999,29
Kern ,7/12/1999,29
Kern ,7/13/1999,29
Los Angeles ,7/13/1999,37
Fresno ,8/10/1999,19
Mariposa ,9/9/1999,43
Calaveras ,9/9/1999,9
Nevada ,9/9/1999,57
Tuolumne ,9/9/1999,109
Madera ,9/21/1999,39
Tulare ,9/22/1999,107
Stanislaus ,9/22/1999,99
Tulare ,9/22/1999,107
Kern ,9/22/1999,29
Kern ,9/23/1999,29
Mariposa ,9/23/1999,43
Riverside ,3/3/2000,65
Orange ,3/3/2000,59
Merced ,4/17/2000,47
Fresno ,4/17/2000,19
Ventura ,4/18/2000,111
Mariposa ,6/25/2000,43
Kern ,8/1/2000,29
Riverside ,8/2/2000,65
San Bernardino ,8/2/2000,71
San Diego ,8/2/2000,73
Nevada ,8/2/2000,57
Kern ,8/2/2000,29
Fresno ,8/3/2000,19
San Bernardino ,8/15/2000,71
Riverside ,8/15/2000,65
San Bernardino ,8/24/2000,71
Kern ,8/28/2000,29
Fresno ,9/1/2000,19
Madera ,9/1/2000,39
San Diego ,9/7/2000,73
San Diego ,9/7/2000,73
Sacramento ,10/9/2000,67
Fresno ,10/9/2000,19
Tulare ,10/10/2000,107
Tulare ,1/24/2001,107
Sonoma ,1/25/2001,97
Kern ,3/6/2001,29
Kern ,3/6/2001,29
San Bernardino ,7/5/2001,71
San Bernardino ,7/6/2001,71
San Bernardino ,7/6/2001,71
Riverside ,7/6/2001,65
Mariposa ,8/9/2001,43
Tulare ,8/9/2001,107
San Diego ,9/2/2001,73
San Bernardino ,9/3/2001,71
San Diego ,3/17/2002,73
Fresno ,5/20/2002,19
Fresno ,5/20/2002,19
Fresno ,5/20/2002,19
Fresno ,5/20/2002,19
Kings ,5/31/2002,31
Kings ,5/31/2002,31
Kings ,5/31/2002,31
Kings ,5/31/2002,31
San Diego ,11/29/2002,73
Tulare ,5/14/2003,107
Tulare ,5/14/2003,107
Tulare ,5/14/2003,107
Tulare ,7/25/2003,107
Los Angeles ,7/28/2003,37
Kern ,7/30/2003,29
Kern ,7/30/2003,29
Kern ,7/30/2003,29
Riverside ,7/30/2003,65
Kern ,7/30/2003,29
Tulare ,7/30/2003,107
Kings ,7/30/2003,31
San Bernardino ,8/14/2003,71
Tulare ,8/20/2003,107
Tulare ,8/20/2003,107
Tulare ,8/20/2003,107
Riverside ,8/24/2003,65
San Diego ,8/24/2003,73
San Bernardino ,8/24/2003,71
Mariposa ,8/26/2003,43
Merced ,8/26/2003,47
Madera ,8/26/2003,39
Fresno ,8/26/2003,19
Kern ,8/26/2003,29
San Bernardino ,8/28/2003,71
San Diego ,9/2/2003,73
Tulare ,9/2/2003,107
Tulare ,9/3/2003,107
Siskiyou ,9/3/2003,93
Modoc ,9/3/2003,49
Kern ,9/3/2003,29
San Bernardino ,9/4/2003,71
Tulare ,12/5/2003,107
San Bernardino ,12/11/2003,71
Los Angeles ,2/20/2004,37
San Diego ,3/2/2004,73
Mono ,7/2/2004,51
Riverside ,8/13/2004,65
San Bernardino ,8/14/2004,71
San Bernardino ,9/10/2004,71
Merced ,9/19/2004,47
San Bernardino ,1/3/2005,71
Fresno ,1/26/2005,19
Fresno ,1/28/2005,19
Fresno ,2/21/2005,19
Madera ,2/21/2005,39
Kern ,2/23/2005,29
Riverside ,2/24/2005,65
Kern ,3/4/2005,29
Kern ,3/4/2005,29
Kern ,3/4/2005,29
Kings ,4/28/2005,31
Kings ,4/28/2005,31
Fresno ,5/9/2005,19
Fresno ,5/9/2005,19
San Bernardino ,7/22/2005,71
San Diego ,7/23/2005,73
Tulare ,7/28/2005,107
San Diego ,7/31/2005,73
Riverside ,8/9/2005,65
San Bernardino ,8/14/2005,71
Kern ,8/15/2005,29
Kern ,8/15/2005,29
San Diego ,9/19/2005,73
Riverside ,9/19/2005,65
Orange ,9/19/2005,59
San Bernardino ,9/19/2005,71
Kern ,9/20/2005,29
Tulare ,9/20/2005,107
Merced ,9/20/2005,47
Merced ,9/20/2005,47
Tulare ,9/26/2005,107
Kern ,9/26/2005,29
Imperial ,10/16/2005,25
San Bernardino ,10/17/2005,71
Kings ,10/24/2005,31
Tulare ,10/24/2005,107
Fresno ,10/24/2005,19
Madera ,10/24/2005,39
Mariposa ,10/24/2005,43
Fresno ,10/24/2005,19
Fresno ,12/26/2005,19
Merced ,1/18/2006,47
Fresno ,3/12/2006,19
Kern ,3/14/2006,29
Tulare ,3/17/2006,107
San Bernardino ,4/5/2006,71
Kern ,4/5/2006,29
Tulare ,4/14/2006,107
Fresno ,4/14/2006,19
Fresno ,4/14/2006,19
Fresno ,4/21/2006,19
Kern ,4/21/2006,29
Fresno ,4/26/2006,19
Kern ,6/28/2006,29
Kern ,7/18/2006,29
Kern ,7/20/2006,29
Fresno ,7/21/2006,19
San Diego ,9/2/2006,73
San Bernardino ,12/27/2006,71
Butte ,6/5/2007,7
Tulare ,8/30/2007,107
Kings ,8/31/2007,31
San Bernardino ,7/10/2008,71
Butte ,3/3/2009,7
Kern ,6/3/2009,29
San Diego ,6/3/2009,73
San Bernardino ,6/3/2009,71
Plumas ,6/3/2009,63
Riverside ,6/3/2009,65
Madera ,6/5/2009,39
Fresno ,6/5/2009,19
Marin ,9/12/2009,41
San Francisco ,9/12/2009,75
San Joaquin ,9/13/2009,77
Yuba ,11/27/2009,115
Fresno ,4/12/2010,19
Riverside ,7/15/2010,65
Riverside ,8/26/2010,65
San Bernardino ,8/26/2010,71
San Bernardino ,10/1/2010,71
Riverside ,10/19/2010,65
San Bernardino ,10/19/2010,71
Riverside ,10/19/2010,65
San Bernardino ,7/7/2011,71
San Bernardino ,7/31/2011,71
Fresno ,7/31/2011,19
San Bernardino ,8/1/2011,71
San Bernardino ,8/27/2011,71
San Bernardino ,9/9/2011,71
Kern ,9/10/2011,29
Kern ,9/10/2011,29
San Bernardino ,9/13/2011,71
Ventura ,9/13/2011,111
Mariposa ,9/13/2011,43
Alameda ,10/6/2011,1
San Diego ,4/13/2012,73
Nevada ,7/23/2012,57
San Diego ,8/11/2012,73
San Bernardino ,8/11/2012,71
Riverside ,8/30/2012,65
San Bernardino ,9/11/2012,71
Tuolumne ,7/1/2013,109
Madera ,1/30/2014,39
Fresno ,2/28/2014,19
San Diego ,7/27/2014,73
Los Angeles ,7/27/2014,37
Los Angeles ,7/27/2014,37
Riverside ,8/20/2014,65
San Bernardino ,9/16/2014,71
San Diego ,9/16/2014,73
San Bernardino ,9/20/2014,71
San Bernardino ,11/21/2014,71
Riverside ,11/21/2014,65
San Diego ,6/30/2015,73
Riverside ,6/30/2015,65
San Bernardino ,7/17/2015,71
San Diego ,7/18/2015,73
San Diego ,7/18/2015,73
Riverside ,7/18/2015,65
Riverside ,7/18/2015,65
Riverside ,7/18/2015,65
San Bernardino ,7/18/2015,71
Riverside ,7/18/2015,65
Riverside ,7/18/2015,65
San Diego ,7/18/2015,73
Kern ,7/18/2015,29
San Bernardino ,7/29/2015,71
San Bernardino ,7/29/2015,71
San Bernardino ,7/29/2015,71
San Diego ,7/30/2015,73
San Bernardino ,9/9/2015,71
San Bernardino ,10/15/2015,71
San Bernardino ,10/15/2015,71
Orange ,3/7/2016,59
Merced ,5/5/2016,47
Inyo ,6/11/2016,27
San Bernardino ,8/2/2016,71
San Diego ,9/19/2016,73
Riverside ,10/23/2016,65
San Bernardino ,10/23/2016,71
Riverside ,10/24/2016,65
San Bernardino ,10/24/2016,71
San Diego ,10/24/2016,73
San Diego ,10/24/2016,73
San Francisco ,1/20/2017,75
San Francisco ,1/20/2017,75
San Francisco ,1/22/2017,75
Stanislaus ,3/21/2017,99
Napa ,3/21/2017,55
Butte ,4/13/2017,7
Riverside ,8/3/2017,65
Riverside ,8/3/2017,65
San Bernardino ,8/31/2017,71
Tulare ,9/3/2017,107
Riverside ,9/7/2017,65
San Diego ,9/9/2017,73
San Mateo ,9/11/2017,81
San Mateo ,9/11/2017,81
San Francisco ,9/11/2017,75
San Mateo ,9/11/2017,81
Kings ,9/11/2017,31
San Francisco ,9/11/2017,75
San Francisco ,3/2/2018,75
Sonoma ,3/14/2018,97
Santa Clara ,4/16/2018,85
Siskiyou ,5/23/2018,93
Stanislaus ,5/25/2018,99
San Bernardino ,7/11/2018,71
San Bernardino ,7/29/2018,71
San Bernardino ,7/29/2018,71
San Bernardino ,10/12/2018,71
Butte ,1/9/2019,7
San Diego ,1/31/2019,73
Santa Clara ,3/10/2019,85
Santa Clara ,3/10/2019,85
Shasta ,3/27/2019,89
San Diego ,4/22/2019,73
San Diego ,4/29/2019,73
Mono ,7/25/2019,51
San Diego ,11/19/2019,73
Marin ,12/25/2019,41
Riverside ,3/12/2020,65
San Diego ,3/27/2020,73
Tehama ,5/18/2020,103
