County,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2019,Change 2010-19
Alameda ,1304347,1443705,1510258,1671329,0.107
Alpine ,1113,1206,1175,1129,-0.039
Amador ,30039,35101,38091,39752,0.044
Butte ,182120,203125,220005,219186,-0.004
Calaveras ,31998,40535,45578,45905,0.007
Colusa ,16275,18799,21407,21547,0.007
Contra Costa ,803731,948865,1049204,1153526,0.099
Del Norte ,23460,27505,28610,27812,-0.028
El Dorado ,125995,156314,181058,192843,0.065
Fresno ,667479,798766,930507,999101,0.074
Glenn ,24798,26432,28122,28393,0.01
Humboldt ,119118,126508,134611,135558,0.007
Imperial ,109303,142334,174524,181215,0.038
Inyo ,18281,17955,18542,18039,-0.027
Kern ,544981,661632,839621,900202,0.072
Kings ,101469,129470,152974,152940,0
Lake ,50631,58331,64662,64386,-0.004
Lassen ,27598,33828,34895,30573,-0.124
Los Angeles ,8863052,9519315,9819968,10039107,0.022
Madera ,88090,123179,150834,157327,0.043
Marin ,230096,247301,252430,258826,0.025
Mariposa ,14302,17112,18247,17203,-0.057
Mendocino ,80345,86253,87850,86749,-0.013
Merced ,178403,211178,255796,277680,0.086
Modoc ,9678,9431,9682,8841,-0.087
Mono ,9956,12839,14206,14444,0.017
Monterey ,355660,401752,415059,434061,0.046
Napa ,110765,124344,136535,137744,0.009
Nevada ,78510,92055,98747,99755,0.01
Orange ,2410668,2846282,3008989,3175692,0.055
Placer ,172796,248270,348502,398329,0.143
Plumas ,19739,20817,20007,18807,-0.06
Riverside ,1170413,1545320,2189765,2470546,0.128
Sacramento ,1066789,1223578,1418735,1552058,0.094
San Benito ,36697,53214,55265,62808,0.136
San Bernardino ,1418380,1709479,2035183,2180085,0.071
San Diego ,2498016,2813839,3095349,3338330,0.078
San Francisco ,723959,776764,805184,881549,0.095
San Joaquin ,480628,563660,685306,762148,0.112
San Luis Obispo ,217162,246746,269597,283111,0.05
San Mateo ,649623,707099,718517,766573,0.067
Santa Barbara ,369608,399293,423947,446499,0.053
Santa Clara ,1497577,1682781,1781686,1927852,0.082
Santa Cruz ,229734,255614,262350,273213,0.041
Shasta ,147036,163242,177221,180080,0.016
Sierra ,3318,3559,3239,3005,-0.072
Siskiyou ,43531,44305,44900,43539,-0.03
Solano ,339469,394495,413343,447643,0.083
Sonoma ,388222,458586,483861,494336,0.022
Stanislaus ,370522,446850,514450,550660,0.07
Sutter ,64409,78947,94756,96971,0.023
Tehama ,49625,56060,63440,65084,0.026
Trinity ,13063,13011,13784,12285,-0.109
Tulare ,311932,368011,442182,466195,0.054
Tuolumne ,48456,54522,55368,54478,-0.016
Ventura ,669016,753230,823398,846006,0.027
Yolo ,141212,168660,200855,220500,0.098
Yuba ,58234,60249,72142,78668,0.09
